13	J	14144
12	R	14144
12	J	14159
11	R	14159
11	J	14174
1	J	14174
16	R	14174
16	Z	14174
10	R	14174
10	J	14189
9	R	14189
9	J	14204
8	R	14204
8	J	14219
7	R	14219
7	J	14234
15	R	14234
15	J	14249
14	R	14249
14	J	14264
13	R	14264
13	J	14279
1	J	14279
16	R	14279
16	Z	14279
12	R	14279
12	J	14294
11	R	14294
11	J	14309
10	R	14309
10	J	14324
9	R	14324
9	J	14339
8	R	14339
8	J	14354
7	R	14354
7	J	14369
15	R	14369
15	J	14384
1	J	14384
16	R	14384
16	Z	14384
14	R	14384
14	J	14399
13	R	14399
13	J	14414
12	R	14414
12	J	14429
11	R	14429
11	J	14444
10	R	14444
10	J	14459
9	R	14459
9	J	14474
8	R	14474
8	J	14489
1	J	14489
16	R	14489
16	Z	14489
7	R	14489
7	J	14504
15	R	14504
15	J	14519
14	R	14519
14	J	14534
13	R	14534
13	J	14549
12	R	14549
12	J	14564
11	R	14564
11	J	14579
10	R	14579
10	J	14594
1	J	14594
16	R	14594
16	Z	14594
9	R	14594
9	J	14609
8	R	14609
8	J	14624
7	R	14624
7	J	14639
15	R	14639
15	J	14654
14	R	14654
14	J	14669
13	R	14669
13	J	14684
12	R	14684
12	J	14699
1	J	14699
16	R	14699
16	Z	14699
11	R	14699
11	J	14714
10	R	14714
10	J	14729
9	R	14729
9	J	14744
8	R	14744
8	J	14759
7	R	14759
7	J	14774
15	R	14774
15	Z	14784
14	R	14784
14	J	14799
13	R	14799
13	J	14814
1	J	14814
16	R	14814
16	Z	14814
12	R	14814
12	J	14829
11	R	14829
11	J	14844
10	R	14844
10	J	14859
9	R	14859
9	J	14874
8	R	14874
8	J	14889
1	J	14889
7	R	14889
7	J	14904
15	R	14904
15	Z	14904
14	R	14904
14	J	14919
1	J	14919
16	R	14919
0	J	14919
6	R	14919
16	E	14919
6	Z	14919
13	R	14919
13	J	14934
12	R	14934
12	J	14949
11	R	14949
11	J	14964
10	R	14964
10	J	14979
9	R	14979
9	J	14994
8	R	14994
8	J	15009
1	J	15009
15	R	15009
15	Z	15009
7	R	15009
7	J	15024
14	R	15024
14	J	15039
13	R	15039
13	J	15054
12	R	15054
12	J	15069
11	R	15069
11	J	15084
10	R	15084
10	J	15099
9	R	15099
9	J	15114
1	J	15114
15	R	15114
15	Z	15114
8	R	15114
8	J	15129
7	R	15129
7	J	15144
14	R	15144
14	J	15159
13	R	15159
13	J	15174
12	R	15174
12	J	15189
11	R	15189
11	J	15204
10	R	15204
10	J	15219
1	J	15219
15	R	15219
15	Z	15219
9	R	15219
9	J	15234
8	R	15234
8	J	15249
7	R	15249
7	J	15264
14	R	15264
14	J	15279
13	R	15279
13	J	15294
12	R	15294
12	J	15309
11	R	15309
11	J	15324
0	J	15324
6	R	15324
11	E	15325
15	R	15325
15	Z	15325
6	R	15325
6	Z	15325
10	R	15325
10	J	15340
9	R	15340
9	J	15355
8	R	15355
8	J	15370
7	R	15370
7	J	15385
14	R	15385
14	J	15400
13	R	15400
13	J	15415
12	R	15415
12	J	15430
1	J	15430
15	R	15430
15	Z	15430
10	R	15430
10	J	15445
9	R	15445
9	J	15460
8	R	15460
8	J	15475
7	R	15475
7	J	15490
14	R	15490
14	J	15505
13	R	15505
13	J	15520
12	R	15520
12	J	15535
0	J	15535
12	J	15536
15	Z	15536
6	R	15536
12	E	15536
6	Z	15536
10	R	15536
10	J	15551
9	R	15551
